Graph,n,m,ccCount,numBCC,maxV,maxE,S_BCC
/home/graphwork/Graphs/Sybrandt/MOLIERE_2016/MOLIERE_2016.mtx,30239687,2147483647,Graph too large
/home/graphwork/Graphs/Sybrandt/MOLIERE_2016/MOLIERE_2016_duplicate_edges.mtx,3106164,0,3106164,0,0,0,0.000000
/home/graphwork/Graphs/Sybrandt/AGATHA_2015/AGATHA_2015.mtx,183964077,2147483647,Graph too large
/home/graphwork/Graphs/GAP/GAP-urand_sources.mtx,64,0,64,0,0,0,0.000000
/home/graphwork/Graphs/GAP/GAP-twitter.mtx,61578415,1468364884,Graph too large
/home/graphwork/Graphs/GAP/GAP-web.mtx,50636151,1930292948,Graph too large
/home/graphwork/Graphs/GAP/GAP-road.mtx,23947347,28854312,1,7390330,16019894,20705787,0.703335
/home/graphwork/Graphs/GAP/GAP-twitter_sources.mtx,64,1878275792,Graph too large
/home/graphwork/Graphs/GAP/GAP-kron.mtx,134217726,2111632322,Graph too large
/home/graphwork/Graphs/GAP/GAP-web_sources.mtx,64,0,64,0,0,0,0.000000
/home/graphwork/Graphs/GAP/GAP-urand.mtx,134217728,2147483370,Graph too large
/home/graphwork/Graphs/GenBank/kmer_P1a.mtx,139353211,148914992,7944,13937455,125017562,134566802,0.901570
/home/graphwork/Graphs/GenBank/kmer_V2a.mtx,55042369,58608800,15343,9783738,44070405,47595133,0.808433
/home/graphwork/Graphs/GenBank/kmer_A2a.mtx,170728175,180292586,5353,14530329,155625962,165164962,0.914631
/home/graphwork/Graphs/GenBank/kmer_U1a.mtx,67716231,69389281,44132,21741205,45219749,46906519,0.673299
/home/graphwork/Graphs/GenBank/kmer_V1r.mtx,214005017,232705452,Graph too large
/home/graphwork/Graphs/SNAP/as-735_G_569.mtx,7716,9995,2479,1999,3229,7974,0.692161
/home/graphwork/Graphs/SNAP/email-Eu-core_Communities_all.mtx,1005,1004,2,1001,4,4,0.003983
/home/graphwork/Graphs/SNAP/as-735_G_165.mtx,7716,6532,4100,1635,1980,4892,0.566121
/home/graphwork/Graphs/SNAP/as-735_G_399.mtx,7716,8243,3265,1810,2636,6420,0.639451
/home/graphwork/Graphs/SNAP/as-735_G_109.mtx,7716,6071,4303,1584,1827,4480,0.543207
/home/graphwork/Graphs/SNAP/as-735_G_220.mtx,7716,6845,3960,1620,2134,5219,0.587312
/home/graphwork/Graphs/SNAP/as-735_G_470.mtx,7716,8889,2960,1894,2856,6980,0.659606
/home/graphwork/Graphs/SNAP/as-735_G_119.mtx,7716,6064,4302,1579,1829,4465,0.542179
/home/graphwork/Graphs/SNAP/as-735_G_725.mtx,7716,4233,5654,810,1253,3422,0.500371
/home/graphwork/Graphs/SNAP/as-735_G_607.mtx,7716,10535,2240,2076,3390,8435,0.703814
/home/graphwork/Graphs/SNAP/as-735_G_400.mtx,7716,8258,3267,1800,2645,6447,0.641259
/home/graphwork/Graphs/SNAP/as-735_G_107.mtx,7716,6048,4320,1579,1813,4458,0.541540
/home/graphwork/Graphs/SNAP/as-735_G_194.mtx,7716,6673,4042,1623,2045,5035,0.575207
/home/graphwork/Graphs/SNAP/as-735_G_131.mtx,7716,6185,4252,1598,1862,4576,0.548342
/home/graphwork/Graphs/SNAP/as-735_G_471.mtx,7716,8868,2967,1891,2852,6962,0.659123
/home/graphwork/Graphs/SNAP/as-735_G_404.mtx,7716,8243,3268,1801,2641,6427,0.640236
/home/graphwork/Graphs/SNAP/as-735_G_392.mtx,7716,8161,3301,1804,2608,6348,0.636659
/home/graphwork/Graphs/SNAP/as-735_G_396.mtx,7716,8191,3292,1789,2628,6384,0.638891
/home/graphwork/Graphs/SNAP/as-735_G_242.mtx,7716,6992,3885,1630,2197,5352,0.594516
/home/graphwork/Graphs/SNAP/as-735_G_528.mtx,7716,9563,2697,1947,3068,7605,0.680948
/home/graphwork/Graphs/SNAP/email-Eu-core-temporal_Dept_4.mtx,146,833,10,18,35,289,0.338300
/home/graphwork/Graphs/SNAP/as-735_G_405.mtx,7716,8258,3262,1794,2655,6451,0.642002
/home/graphwork/Graphs/SNAP/as-735_G_062.mtx,7716,5668,4473,1541,1701,4122,0.521992
