Graph,n,m,ccCount,numBCC,maxV,maxE,S_BCC
/home/resources/Graphs/connected_graphs/ccc_G_07_connected.mtx,4608,6912,1,1,4608,6912,1.000000
/home/resources/Graphs/connected_graphs/Reuters911_Day_64_connected.mtx,13332,14748,1,12523,801,2206,0.121719
/home/resources/Graphs/connected_graphs/as-caida_G_112_connected.mtx,31379,57756,1,15371,15992,42353,0.685529
/home/resources/Graphs/connected_graphs/G3_connected.mtx,800,19176,1,1,800,19176,1.000000
/home/resources/Graphs/connected_graphs/G47_connected.mtx,1000,9990,1,1,1000,9990,1.000000
/home/resources/Graphs/connected_graphs/as-caida_G_121_connected.mtx,31379,58285,1,15099,16264,43155,0.693306
/home/resources/Graphs/connected_graphs/poli_connected.mtx,4008,4387,1,3505,310,512,0.104366
/home/resources/Graphs/connected_graphs/as-caida_G_055_connected.mtx,31379,54477,1,17087,14277,37360,0.634184
/home/resources/Graphs/connected_graphs/G35_connected.mtx,2000,11778,1,1,2000,11778,1.000000
/home/resources/Graphs/connected_graphs/bfly_G_03_connected.mtx,160,320,1,1,160,320,1.000000
/home/resources/Graphs/connected_graphs/adjnoun_connected.mtx,112,425,1,11,102,415,0.968815
/home/resources/Graphs/connected_graphs/fl2010_connected.mtx,484481,1173148,1,24245,446947,1119474,0.948819
/home/resources/Graphs/connected_graphs/coAuthorsDBLP_connected.mtx,299067,977676,1,65636,197448,817752,0.813049
/home/resources/Graphs/connected_graphs/coPapersCiteseer_connected.mtx,434102,16036720,1,11577,401268,15891726,0.990069
/home/resources/Graphs/connected_graphs/Reuters911_Day_09_connected.mtx,13332,15882,1,12123,1204,3748,0.192922
/home/resources/Graphs/connected_graphs/delaunay_n15_connected.mtx,32768,98274,1,1,32768,98274,1.000000
/home/resources/Graphs/connected_graphs/as-caida_G_096_connected.mtx,31379,57467,1,15739,15628,41705,0.676891
/home/resources/Graphs/connected_graphs/il2010_connected.mtx,451554,1082232,1,7009,442428,1070638,0.987648
/home/resources/Graphs/connected_graphs/G65_connected.mtx,8000,16000,1,1,8000,16000,1.000000
/home/resources/Graphs/connected_graphs/as-caida_G_021_connected.mtx,31379,51976,1,18405,12957,33541,0.591431
/home/resources/Graphs/connected_graphs/italy_osm_connected.mtx,6686493,7013978,1,1479785,5044284,5354929,0.760539
/home/resources/Graphs/connected_graphs/G18_connected.mtx,800,4694,1,1,800,4694,1.000000
/home/resources/Graphs/connected_graphs/as-caida_G_108_connected.mtx,31379,58444,1,15423,15932,42974,0.687139
/home/resources/Graphs/connected_graphs/oh2010_connected.mtx,365344,884120,1,9001,353544,868968,0.980266
/home/resources/Graphs/connected_graphs/as-caida_G_065_connected.mtx,31379,55718,1,16861,14502,38825,0.645254
/home/resources/Graphs/connected_graphs/M6_connected.mtx,3501776,10501936,1,1,3501776,10501936,1.000000
/home/resources/Graphs/connected_graphs/netscience_connected.mtx,1589,3137,1,860,134,372,0.111662
/home/resources/Graphs/connected_graphs/Reuters911_Day_61_connected.mtx,13332,14873,1,12421,901,2430,0.133734
/home/resources/Graphs/connected_graphs/S40PI_n_B_connected.mtx,2182,2181,1,2181,2,1,0.000611
/home/resources/Graphs/connected_graphs/Reuters911_Day_53_connected.mtx,13332,15528,1,12187,1137,3326,0.175475
/home/resources/Graphs/connected_graphs/Tina_DisCal_connected.mtx,11,32,1,1,11,32,1.000000
/home/resources/Graphs/connected_graphs/cca_G_09_connected.mtx,22528,31744,1,1,22528,31744,1.000000
/home/resources/Graphs/connected_graphs/as-caida_G_084_connected.mtx,31379,56098,1,16332,15034,39740,0.658290
/home/resources/Graphs/connected_graphs/poli_large_connected.mtx,15575,17468,1,13577,1479,2907,0.144384
/home/resources/Graphs/connected_graphs/as-caida_G_114_connected.mtx,31379,41562,1,26139,5234,15412,0.314909
/home/resources/Graphs/connected_graphs/cage_G_11_connected.mtx,58,87,1,1,58,87,1.000000
/home/resources/Graphs/connected_graphs/as-caida_G_101_connected.mtx,31379,57585,1,15650,15708,41894,0.678927
/home/resources/Graphs/connected_graphs/G34_connected.mtx,2000,4000,1,1,2000,4000,1.000000
/home/resources/Graphs/connected_graphs/cage_G_24_connected.mtx,70,105,1,1,70,105,1.000000
/home/resources/Graphs/connected_graphs/ca-GrQc_connected.mtx,5242,14838,1,1902,2651,10480,0.676184
/home/resources/Graphs/connected_graphs/as-caida_G_117_connected.mtx,31379,58311,1,15271,16094,43012,0.689982
/home/resources/Graphs/connected_graphs/human_gene1_connected.mtx,22283,12324089,1,745,21522,12323304,0.999906
/home/resources/Graphs/connected_graphs/cca_G_06_connected.mtx,2048,2816,1,1,2048,2816,1.000000
/home/resources/Graphs/connected_graphs/as-caida_G_036_connected.mtx,31379,54029,1,17620,13743,36377,0.620330
/home/resources/Graphs/connected_graphs/netherlands_osm_connected.mtx,2216688,2441238,1,422853,1696961,1904807,0.775665
/home/resources/Graphs/connected_graphs/as-caida_G_078_connected.mtx,31379,56714,1,16363,14999,40318,0.660431
/home/resources/Graphs/connected_graphs/rgg_n_2_19_s0_connected.mtx,524288,3269771,1,54,524214,3269657,0.999957
/home/resources/Graphs/connected_graphs/333SP_connected.mtx,3712815,11108633,1,1,3712815,11108633,1.000000
/home/resources/Graphs/connected_graphs/G37_connected.mtx,2000,11785,1,1,2000,11785,1.000000
/home/resources/Graphs/connected_graphs/delaunay_n19_connected.mtx,524288,1572823,1,1,524288,1572823,1.000000
/home/resources/Graphs/connected_graphs/polblogs_connected.mtx,1490,16982,1,409,1081,16572,0.965335
/home/resources/Graphs/connected_graphs/cage_G_26_connected.mtx,112,168,1,1,112,168,1.000000
/home/resources/Graphs/connected_graphs/delaunay_n18_connected.mtx,262144,786396,1,1,262144,786396,1.000000
/home/resources/Graphs/connected_graphs/G40_connected.mtx,2000,11766,1,1,2000,11766,1.000000
/home/resources/Graphs/connected_graphs/as-caida_G_044_connected.mtx,31379,54087,1,17428,13936,36630,0.624824
/home/resources/Graphs/connected_graphs/coAuthorsCiteseer_connected.mtx,227320,814134,1,48393,142245,657250,0.785058
/home/resources/Graphs/connected_graphs/ut2010_connected.mtx,115406,286033,1,3809,110192,279173,0.972459
/home/resources/Graphs/connected_graphs/G36_connected.mtx,2000,11766,1,1,2000,11766,1.000000
/home/resources/Graphs/connected_graphs/GD96_a_connected.mtx,1096,1677,1,2,1095,1676,0.999326
/home/resources/Graphs/connected_graphs/GD96_d_connected.mtx,180,228,1,104,66,108,0.443396
/home/resources/Graphs/connected_graphs/Reuters911_Day_23_connected.mtx,13332,15225,1,12357,961,2835,0.151455
/home/resources/Graphs/connected_graphs/Reuters911_Day_19_connected.mtx,13332,14420,1,12645,678,1758,0.099450
/home/resources/Graphs/connected_graphs/Reuters911_Day_45_connected.mtx,13332,14859,1,12397,924,2438,0.134727
